Product|FaceValue|OfferDetails
liquid laundry detergent|$2.00|Save $2.00 off ONE all liquid laundry detergent (88oz.) or mighty pacs (39ct.)
Gardein Breakfast Bowl|$1.00|Save $1.00 on Gardein Breakfast Bowl When you buy any ONE Gardein Breakfast Bowl (8.5 oz)
Family Pet Meaty Cuts Dry Dog Food|$1.00|$1.00 OFF Family Pet Meaty Cuts Dry Dog Food 28 lbs. - When you clip the Family Dollar Smart Coupon.
Gain Liquid Fabric Softener,Gain Fireworks||Gain ONE Gain Liquid Fabric Softener 48 ld OR Gain Fireworks In...
Gain Flings,Gain Liquid Laundry Detergent,Gain Botanicals, Gain Essential Oils, Gain Powder Laundry Detergent, Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings|$1.00|Save $1.00 on ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).
Downy Liquid Fabric Conditioner, Downy Odor Protect, Downy Wrinkle Guard, Downy Nature Blends, Bounce/Downy Sheets, Bounce/Downy Wrinkle, Wash Scent Boosters, Downy Unstopables, Fresh Protect, Odor Protect, Downy Libre Enjuague|$1.00|Save $1.00 on ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)
Crest Toothpaste, Crest Cavity, Base Baking Soda, Tartar Control/Protection, F&W Pep Gleem, Gum Detoxify, Gum Enamel, Whitening Therapy||ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).
Kauai SS Coffee Pods|$2.00|Save $2.00 on Kauai SS Coffee Pods When you buy ONE (1) Kauai SS Coffee Pods, any variety (12ct)
Oral-B Glide Manual Floss, Floss Picks, Interdental Brush, Interdental Picks]|$1.00|Save $1.00 on ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).
Gillette Blade Refill||ONE Gillette Blade Refill (4 ct or larger).
